rotten_tomatoes_link,movie_title,content_rating,genre,directors,original_release_date,streaming_release_date,runtime,production_company,audience_rating,audience_count
m/1015383-odd_man_out,Odd Man Out,NR,DRAMA,Carol Reed,1947-04-23,2017-05-23,115,Universal Pictures,86,1969
m/1015389-odessa_file,The Odessa File,PG,ACTION & ADVENTURE,Ronald Neame,1974-10-18,2013-07-01,128,Sony Pictures Home Entertainment,64,3201
m/1015517-omen,The Omen,R,HORROR,Richard Donner,1976-06-25,2017-03-01,111,20th Century Fox,80,125984
m/1015530-on_the_beach,On the Beach,NR,DRAMA,Stanley Kramer,1959-12-17,2000-02-29,133,United Artists,69,4368
m/1015542-on_the_town,On the Town,NR,COMEDY,"Stanley Donen, Gene Kelly",1949-12-30,2013-11-27,98,MGM,83,13165
m/1015639-only_when_i_laugh,Only When I Laugh,R,COMEDY,"Glenn Jordan, Vernon Lawrence",1981-09-25,2012-04-16,120,Sony Pictures Entertainment,42,714
m/1015737-our_town,Our Town,NR,DRAMA,Sam Wood,1940-05-24,2016-08-11,90,United Artists,46,1291
m/1015753-out_of_the_dark,Out of the Dark,R,COMEDY,Michael Schroeder,1989-03-11,2013-07-30,90,Sony Pictures Home Entertainment,29,252
m/1015758-outoftowners,The Out-of-Towners,PG-13,COMEDY,Arthur Hiller,1970-05-28,2016-05-09,97,Paramount Pictures,69,4333
m/1015944-parent_trap,The Parent Trap,G,COMEDY,David Swift,1961-06-21,2016-02-07,124,Buena Vista Distribution Company,75,174643
m/1015967-party,The Party,PG,COMEDY,Blake Edwards,1968-04-04,2016-09-30,99,United Artists,88,28430
m/1016119-pennies_from_heaven,Pennies From Heaven,R,DRAMA,Herbert Ross,1981-12-11,2016-11-21,107,Warner Home Video,65,3701
m/1016213-peter_pan,Peter Pan,G,SCIENCE FICTION & FANTASY,"Wilfred Jackson, Clyde Geronimi, Hamilton Luske",1953-02-05,2018-06-29,76,Walt Disney,80,277986
m/1016239-phantom_of_the_opera,The Phantom of the Opera,R,HORROR,"Dwight H. Little, Dwight Little",1989-06-01,2016-08-10,90,RCA/Columbia,53,49310
m/1016240-phantom_of_the_opera,Phantom Of The Opera,NR,DRAMA,"Lon Chaney Jr, Rupert Julian, Edward Sedgwick",1925-11-15,2016-11-10,84,Universal Pictures,84,17462
m/1016302-picture_of_dorian_gray,The Picture of Dorian Gray,NR,DRAMA,Albert Lewin,1945-01-01,2016-11-21,110,WARNER BROTHERS PICTURES,76,5766
m/1016338-pink_panther,The Pink Panther,NR,COMEDY,Blake Edwards,1963-03-20,2016-10-01,113,United Artists,78,57498
m/1016359-piranha,Piranha,R,COMEDY,Joe Dante,1978-08-03,2018-05-03,92,The Weinstein Company/Dimension Films,41,12096
m/1016365-pirates_of_penzance,The Pirates of Penzance,G,ACTION & ADVENTURE,Wilford Leach,1983-02-18,2015-09-11,112,Universal Studios,83,8477
m/1016369-pit_and_the_pendulum,Pit and the Pendulum (The Pit and the Pendulum),NR,HORROR,Roger Corman,1961-08-12,2016-11-18,80,American International Pictures (AIP),74,8671
m/1016397-planet_of_the_apes,Planet of the Apes,G,SCIENCE FICTION & FANTASY,Franklin J. Schaffner,1968-04-03,2015-11-25,112,20th Century Fox,87,119051
m/1016479-point_blank,Point Blank,R,ACTION & ADVENTURE,John Boorman,1967-08-30,2016-11-21,92,MGM Home Entertainment,84,7614
m/1016512-pollyanna,Pollyanna,G,DRAMA,David Swift,1960-05-19,2016-02-28,134,Walt Disney Productions,79,20895
m/1016513-poltergeist,Poltergeist,PG,HORROR,Tobe Hooper,1982-06-04,2009-04-01,114,MGM Home Entertainment,79,182371
m/1016534-popeye,Popeye,PG,ACTION & ADVENTURE,Robert Altman,1980-12-12,2013-08-01,114,Paramount Pictures,39,56157
m/1016584-poseidon_adventure,The Poseidon Adventure,PG,ACTION & ADVENTURE,"Ronald Neame, Irwin Allen",1972-12-12,2016-04-03,117,20th Century Fox,75,47395
m/1016586-posse,Posse,PG,ACTION & ADVENTURE,Kirk Douglas,1975-08-22,2013-08-01,94,Paramount Pictures,52,352
m/1016591-postman_always_rings_twice,The Postman Always Rings Twice,R,DRAMA,Tay Garnett,1946-05-02,2016-10-02,113,MGM,79,7651
m/1016592-postman_always_rings_twice,The Postman Always Rings Twice,PG,DRAMA,Bob Rafelson,1981-03-20,2016-04-19,123,Warner Home Video,59,9878
m/1016609-power,Power,R,DRAMA,Sidney Lumet,1986-01-31,2009-01-01,111,Lorimar Home Video,45,2110
m/1016698-pride_and_prejudice,Pride and Prejudice,NR,COMEDY,Robert Z. Leonard,1940-07-26,2008-10-10,118,WARNER BROTHERS PICTURES,77,9213
m/1016724-prince_and_the_pauper,The Prince and the Pauper,PG,ACTION & ADVENTURE,William Keighley,1937-05-08,2012-04-16,120,WARNER BROTHERS PICTURES,63,3025
m/1016756-prisoner_of_zenda,The Prisoner of Zenda,NR,ACTION & ADVENTURE,"John Cromwell, George Cukor, W.S. Van Dyke",1937-09-03,2016-10-08,101,United Artists,80,716
m/1016760-prisoner,The Prisoner,NR,DRAMA,Peter Glenville,1955-12-11,2012-04-16,94,Sony Pictures Entertainment,71,498
m/1016819-producers,The Producers,PG,COMEDY,Mel Brooks,1968-06-01,2016-08-10,88,AVCO Embassy Pictures,85,56109
m/1016832-project_x,Project X,PG,ACTION & ADVENTURE,Jonathan Kaplan,1987-04-17,2016-11-30,108,Anchor Bay Entertainment,55,8770
m/1016834-prom_night,Prom Night,R,HORROR,Paul Lynch,1980-08-15,2017-05-31,91,AVCO Embassy Pictures,35,20131
m/1016837-promised_land,Promised Land,R,DRAMA,Gus Van Sant,2013-01-04,2016-05-23,106,Focus Features,46,20366
m/1016842-prophecy,Prophecy,PG,HORROR,John Frankenheimer,1979-06-15,2018-11-06,102,Paramount Pictures,36,3749
m/1016847-protector,The Protector,R,ACTION & ADVENTURE,James Glickenhaus,1985-08-23,2017-02-11,95,Warner Bros. Pictures,45,6888
m/1016854-prowler,The Prowler,R,HORROR,Joseph Zito,1981-11-06,2016-08-10,88,Fangoria,49,3307
m/1016885-public_enemy,The Public Enemy,NR,ACTION & ADVENTURE,William Wellman,1931-04-23,2014-07-24,84,WARNER BROTHERS PICTURES,84,7518
m/1016897-pulse,Pulse,PG-13,HORROR,Paul Golding,1988-01-01,2012-01-01,91,Sony Pictures Entertainment,30,2718
m/1017021-quo_vadis,Quo Vadis?,PG,DRAMA,Mervyn LeRoy,1951-02-23,2015-09-11,171,MGM Home Entertainment,73,3724
m/1017123-raisin_in_the_sun,A Raisin in the Sun,PG,DRAMA,Daniel Petrie Sr.,1961-05-01,2013-02-13,128,Sony Pictures Home Entertainment,86,7161
m/1017226-raw_deal,Raw Deal,R,ACTION & ADVENTURE,John Irvin,1986-06-06,2016-10-06,105,HBO Video,28,21207
m/1017237-razors_edge,The Razor's Edge,NR,DRAMA,Edmund Goulding,1946-01-01,2015-05-01,146,Twentieth Century Fox,72,1905
m/1017238-razors_edge,The Razor's Edge,PG-13,DRAMA,John Byrum,1984-10-19,2016-08-10,128,Columbia Pictures,77,4100
m/1017289-rear_window,Rear Window,PG,DRAMA,Alfred Hitchcock,1954-09-01,2015-08-18,112,Paramount Pictures,95,150824
m/1017306-reckless,Reckless,R,ACTION & ADVENTURE,James Foley,1984-02-03,2017-01-12,90,MGM,69,967
m/1017321-red_dawn,Red Dawn,PG-13,ACTION & ADVENTURE,John Milius,1984-08-10,2017-01-19,114,MGM/UA,65,49159
m/1017328-red_heat,Red Heat,R,ACTION & ADVENTURE,Walter Hill,1988-06-17,2016-11-23,103,Live Home Video,37,37045
m/1017346-red_shoes,The Red Shoes,R,DRAMA,"Michael Powell, Emeric Pressburger",1948-09-06,2017-03-23,133,Eagle-Lion Films,92,11766
m/1017352-red_sonja,Red Sonja,PG-13,ACTION & ADVENTURE,Richard Fleischer,1985-07-03,2015-05-08,89,MGM/UA,28,35233
m/1017410-repentance,Monanieba (Repentance),PG,DRAMA,Tenghiz Abuladze,1984-05-01,,145,Media Home Entertainment,90,404
m/1017488-return_to_oz,Return to Oz,PG,ACTION & ADVENTURE,Walter Murch,1985-06-21,2016-05-04,110,Walt Disney Studios,71,62092
m/1017502-revenge,Revenge,R,ACTION & ADVENTURE,Tony Scott,1990-02-16,2012-04-16,124,Sony Pictures Home Entertainment,54,9175
m/1017530-rich_and_famous,Rich and Famous,R,COMEDY,George Cukor,1981-09-23,2016-11-21,115,MGM Home Entertainment,38,322
m/1017641-risky_business,Risky Business,R,COMEDY,Paul Brickman,1983-08-05,2008-09-01,96,Warner Bros.,72,71207
m/1017666-road_house,Road House,R,ACTION & ADVENTURE,Rowdy Herrington,1989-05-19,2015-09-20,112,United Artists,66,60233
m/1017699-robin_hood,Robin Hood,G,ACTION & ADVENTURE,Wolfgang Reitherman,1973-11-08,2014-09-30,83,Buena Vista Pictures,81,271691
m/1017712-robocop,RoboCop,R,ACTION & ADVENTURE,Paul Verhoeven,1987-07-17,2015-08-27,102,Orion Pictures Corporation,84,226455
m/1017745-rock_n_roll_high_school,Rock 'n' Roll High School,PG,COMEDY,Allan Arkush,1979-08-04,2018-05-03,93,New World Pictures,75,14695
m/1017776-rocky,Rocky,PG,DRAMA,John G. Avildsen,1976-11-21,2015-10-31,119,United Artists,69,33403994
m/1017823-roman_spring_of_mrs_stone,The Roman Spring of Mrs. Stone,R,DRAMA,Jose Quintero,1961-01-01,2012-04-16,104,Warner Home Video,60,1097
m/1017834-romeo_and_juliet,Romeo and Juliet,PG,DRAMA,Franco Zeffirelli,1968-10-08,2015-11-22,138,Paramount Home Video,74,65196
m/1017991-runaway,Runaway,PG-13,ACTION & ADVENTURE,Michael Crichton,1984-12-14,2012-04-16,100,Sony Pictures Home Entertainment,32,7197
m/1018009-running_scared,Running Scared,R,ACTION & ADVENTURE,Peter Hyams,1986-06-27,2016-11-30,106,MGM Home Entertainment,58,8377
m/1018047-sabrina,Sabrina,G,COMEDY,Billy Wilder,1954-09-09,2014-06-06,113,Paramount Home Video,89,55306
m/1018069-sahara,Sahara,NR,ACTION & ADVENTURE,Zoltan Korda,1943-11-11,2012-11-20,97,Sony Pictures Home Entertainment,86,4881
m/1018126-samson_and_delilah,Samson and Delilah,G,DRAMA,Cecil B. DeMille,1949-10-31,2017-01-15,128,Paramount Home Video,59,2075
m/1018315-scanners,Scanners,R,HORROR,David Cronenberg,1981-02-14,2017-03-11,102,Sony Pictures Home Entertainment,64,31505
m/1018318-scarecrow,Scarecrow,R,DRAMA,Jerry Schatzberg,1973-01-01,2016-11-21,115,Warner Home Video,79,6594
m/1018323-scarface,Scarface,PG,DRAMA,Howard Hawks,1932-04-09,2012-07-03,93,Universal Pictures,86,25955
m/1018413-scrooge,Scrooge,G,DRAMA,Ronald Neame,1970-11-05,2018-01-16,118,National General Pictures,84,9183
m/1018433-sea_hawk,The Sea Hawk,NR,ACTION & ADVENTURE,Michael Curtiz,1940-07-01,2009-09-01,127,Warner Bros.,87,4999
m/1018473-second_sight,Second Sight,PG,COMEDY,Joel Zwick,1989-11-03,2017-01-12,84,Warner Home Video,29,656
m/1018550-see_no_evil,Blind Terror (See No Evil),PG,DRAMA,Richard Fleischer,1971-09-02,2012-04-16,89,Sony Pictures Entertainment,56,670
m/1018587-separate_tables,Separate Tables,G,DRAMA,Delbert Mann,1958-12-18,2016-05-04,99,MGM Home Entertainment,76,1355
m/1018688-shadow_of_a_doubt,Shadow of a Doubt,PG,DRAMA,Alfred Hitchcock,1943-01-12,2016-04-19,108,Universal Pictures,89,19468
m/1018699-shaft,Shaft,R,ACTION & ADVENTURE,Gordon Parks,1971-01-01,2008-01-01,100,MGM Home Entertainment,68,12099
m/1018702-shaggy_dog,The Shaggy Dog,G,COMEDY,Charles Barton,1959-03-19,2016-03-01,104,Walt Disney Productions,48,9043
m/1018704-shakedown,Shakedown,R,ACTION & ADVENTURE,James Glickenhaus,1988-05-06,2016-04-19,90,MCA Universal Home Video,40,1447
m/1018711-shall_we_dance,Shall We Dance,NR,COMEDY,Mark Sandrich,1937-05-07,2016-11-21,109,RKO Radio Pictures,85,8855
m/1018885-shooting,The Shooting,PG-13,ACTION & ADVENTURE,Monte Hellman,1967-01-01,2016-10-15,82,VCI,65,1996
m/1018891-short_circuit,Short Circuit,PG,COMEDY,John Badham,1986-05-09,2016-12-06,98,Twentieth Century Fox Home Entertainment,67,168982
m/1018909-shot_in_the_dark,A Shot in the Dark,PG,COMEDY,Blake Edwards,1964-06-23,2017-05-04,101,MGM Home Entertainment,87,17961
m/1018916-show_boat,Show Boat,NR,DRAMA,George Sidney,1951-01-01,2012-04-17,107,MGM Home Entertainment,71,5459
m/1018989-silent_night_deadly_night,"Silent Night, Deadly Night",R,HORROR,Charles E. Sellier Jr,1984-11-09,2016-11-30,79,TriStar Pictures,39,8768
m/1018994-silent_partner,The Silent Partner,R,COMEDY,Daryl Duke,1978-09-07,2016-11-30,103,,85,520
m/1019017-silver_streak,Silver Streak,PG,ACTION & ADVENTURE,Arthur Hiller,1976-12-03,2016-02-14,113,Twentieth Century Fox Home Entertainment,71,9083
m/1019026-simon,Simon,PG,COMEDY,Marshall Brickman,1980-02-02,2016-06-28,97,Warner Bros.,69,198
m/1019045-sinbad_the_sailor,Sinbad the Sailor,NR,ACTION & ADVENTURE,Richard Wallace,,2017-01-13,117,RKO Radio Pictures,60,1201
m/1019128-skin_deep,Skin Deep,R,COMEDY,Blake Edwards,1989-03-03,2018-12-27,101,Media Home Entertainment,56,2814
m/1019187-sleeping_beauty,Sleeping Beauty,G,SCIENCE FICTION & FANTASY,"Les Clark, Clyde Geronimi, Wolfgang Reitherman, Eric Larson",1959-01-29,2019-09-24,75,Buena Vista,80,428044
m/1019378-something_to_sing_about,Something to Sing About,NR,COMEDY,Victor Schertzinger,1937-11-19,2016-08-11,93,Screencraft Pictures,29,103
m/1019441-sorcerer,Sorcerer,PG,ACTION & ADVENTURE,William Friedkin,1977-06-24,2014-08-05,121,Universal/Paramount Pictures,83,3800
m/1019541-sparkle,Sparkle,PG,DRAMA,Sam O'Steen,1976-04-07,2009-01-01,100,Warner Home Video,90,4581
m/1019544-spartacus,Spartacus,PG-13,ACTION & ADVENTURE,Stanley Kubrick,1960-10-07,2015-12-18,184,Universal Pictures,87,78097
m/1019641-splash,Splash,PG,COMEDY,Ron Howard,1984-03-09,,,Touchstone Pictures,,
m/1019716-spring_break,Spring Break,R,COMEDY,"Sean S. Cunningham, Keith Hemstreet",1983-03-25,2013-07-30,100,Anchor Bay Entertainment,41,1803
m/1019743-squeeze,The Squeeze,PG-13,ACTION & ADVENTURE,Roger Young,1987-07-10,2012-04-16,101,HBO Video,29,349
m/1019761-1019761-st_valentines_day_massacre,The St. Valentine's Day Massacre,NR,ACTION & ADVENTURE,Roger Corman,1967-06-30,2015-11-25,100,20th Century Fox,66,1318
m/1019774-stagecoach,Stagecoach,NR,ACTION & ADVENTURE,John Ford,1939-03-02,2016-08-10,96,Warner Home Video,86,14614
m/1019777-stage_fright,Stage Fright,G,DRAMA,Alfred Hitchcock,1950-04-15,2008-08-15,110,IMAX,68,5953
m/1019779-stakeout,Stakeout,R,COMEDY,John Badham,1987-08-05,2016-02-09,115,Touchstone Pictures,56,19144
m/1019828-star_is_born,A Star Is Born,PG,DRAMA,"William Wellman, Jack Conway",1937-04-20,2015-08-07,111,Image Entertainment Inc.,78,2686
m/1019829-star_is_born,A Star Is Born,PG,DRAMA,George Cukor,1954-09-29,2016-10-04,176,Warner Bros. Pictures,82,9256
m/1019831-star_is_born,A Star is Born,R,DRAMA,Frank R. Pierson,1976-12-17,2014-07-24,140,Warner Bros. Pictures,64,6361
m/101_dalmatians,101 Dalmatians,G,COMEDY,"Clyde Geronimi, Hamilton S. Luske, Wolfgang Reitherman, Hamilton Luske",1961-01-25,2016-08-10,79,Buena Vista,76,709291
m/1020130-sting,The Sting,PG,COMEDY,George Roy Hill,1973-12-01,2015-05-08,129,Universal Pictures,95,61731
m/1020287-stranger,The Stranger,PG,DRAMA,Orson Welles,1946-01-01,2016-06-30,95,RKO Pictures,81,5303
m/1020333-streetcar_named_desire,A Streetcar Named Desire,PG,DRAMA,Elia Kazan,1951-09-19,2013-10-02,122,Warner Bros. Pictures,90,55148
m/1020415-suddenly,Suddenly,PG,ACTION & ADVENTURE,Lewis Allen,1954-10-07,2015-02-26,75,United Artists,63,1890
m/1020451-summer_school,Summer School,PG-13,COMEDY,Carl Reiner,1987-07-22,2013-08-01,96,Paramount Home Video,58,27856
m/1020479-sundowners,The Sundowners,NR,ACTION & ADVENTURE,Fred Zinnemann,1960-12-08,2014-11-01,133,Warner Home Video,62,589
m/1020488-sunshine_boys,The Sunshine Boys,PG,COMEDY,Herbert Ross,1975-11-06,2016-11-21,111,MGM Home Entertainment,73,2461
m/1020659-suspect,Suspect,R,DRAMA,Peter Yates,1987-10-23,2013-04-09,121,Sony Pictures Home Entertainment,58,6776
m/1020660-suspicion,Suspicion,NR,DRAMA,Alfred Hitchcock,1941-11-14,2016-04-27,99,WARNER BROTHERS PICTURES,78,14737
m/1020664-svengali,Svengali,NR,DRAMA,Archie Mayo,1931-12-31,2016-08-11,76,Warner Bros.,80,756
m/1020684-sweet_bird_of_youth,Sweet Bird of Youth,R,DRAMA,Richard Brooks,1962-03-21,2016-11-21,120,MGM Home Entertainment,72,1294
m/1020729-swing_time,Swing Time,NR,ROMANCE,George Stevens,1936-09-04,2008-08-18,105,RKO Radio Pictures Inc.,87,7395
m/1020736-swiss_family_robinson,Swiss Family Robinson,G,ACTION & ADVENTURE,Ken Annakin,1960-12-21,2016-07-12,128,Buena Vista Pictures,78,41488
m/1020814-tale_of_two_cities,A Tale of Two Cities,NR,DRAMA,Jack Conway,1935-01-01,2012-04-16,128,Warner Home Video,84,2145
m/1020861-taming_of_the_shrew,The Taming of the Shrew,NR,COMEDY,"Franco Zeffirelli, Artie Mandelberg",1967-03-08,2012-04-16,126,Sony Pictures Home Entertainment,74,7870
m/1020889-target,Target,R,ACTION & ADVENTURE,Arthur Penn,1985-11-08,2003-07-22,117,Warner Bros.,35,2404
m/1020897-tarzan_the_ape_man,"Tarzan, the Ape Man",R,ACTION & ADVENTURE,John Derek,1981-07-24,2008-01-01,112,United Artists,19,3577
m/1021008-tempest,Tempest,PG,COMEDY,Paul Mazursky,1982-08-13,2012-01-01,145,Columbia Pictures,74,774
m/1021014-ten_commandments,The Ten Commandments,NR,DRAMA,Cecil B. DeMille,1923-01-01,2016-07-22,146,Paramount Pictures,73,7723
m/1021015-ten_commandments,The Ten Commandments,G,DRAMA,Cecil B. DeMille,1956-10-05,2016-11-24,220,Paramount Pictures,87,60242
m/1021067-terror,Tales of Terror,NR,COMEDY,Roger Corman,1962-07-04,2017-04-15,90,American International Picture,63,4999
m/1021128-that_championship_season,That Championship Season,R,DRAMA,Jason Miller,,2006-08-01,108,Golan-Globus Productions,50,84
m/1021186-them,Them!,PG,HORROR,Gordon Douglas,1954-06-19,2008-11-07,94,Warner Home Video,77,8718
m/1021211-shivers,Shivers (They Came from Within) (The Parasite Murders),R,HORROR,David Cronenberg,1975-01-01,2016-11-08,88,,59,8412
m/1021214-they_drive_by_night,They Drive by Night,NR,DRAMA,Raoul Walsh,1940-08-03,2012-04-16,93,Warner Bros. Pictures,71,2387
m/1021230-thief,Thief,R,ACTION & ADVENTURE,Michael Mann,1981-03-27,2016-11-30,122,MGM Home Entertainment,81,7231
m/1021242-thing,The Thing from Another World,NR,HORROR,Christian Nyby,1951-01-01,2012-04-01,87,Warner Home Video,73,7972
m/1021244-thing,The Thing,R,HORROR,John Carpenter,1982-07-01,2012-06-15,108,Universal Pictures,92,132195
m/1021262-thirst,Thirst,R,DRAMA,Rod Hardy,1979-09-29,2019-05-14,98,Media Home Entertainment,41,411
m/1021269-this_gun_for_hire,This Gun for Hire,R,DRAMA,Frank Tuttle,1942-05-13,2016-08-30,80,Paramount Pictures,82,2408
m/1021312-three_amigos,Three Amigos!,PG,COMEDY,John Landis,1986-12-12,2017-03-17,105,HBO Video,67,181167
m/1021316-three_brothers,Tre Fratelli (Three Brothers),PG,DRAMA,Francesco Rosi,1981-05-01,2017-03-10,113,Gaumont,60,781
m/1021339-three_musketeers,The Three Musketeers,NR,ACTION & ADVENTURE,George Sidney,1948-10-20,2015-05-08,125,WARNER BROTHERS PICTURES,74,2325
m/1021340-three_musketeers,The Three Musketeers,PG,ACTION & ADVENTURE,Richard Lester,1973-12-11,2016-08-23,105,Live Home Video,78,9688
m/1021500-time_machine,The Time Machine,G,ACTION & ADVENTURE,George Pal,1960-08-17,2008-01-01,103,MGM Home Entertainment,79,19477
m/1021648-tommy,Tommy,PG,DRAMA,Ken Russell,1975-03-19,2012-04-16,111,Sony Pictures,72,30232
m/1021681-toolbox_murders,The Toolbox Murders,R,DRAMA,Dennis Donnelly,1978-03-01,2016-08-10,93,Scary Movies LLC,30,2441
m/1021699-top_secret,Top Secret!,PG,COMEDY,"David Zucker, Jim Abrahams, Jerry Zucker",1984-06-08,2014-06-06,90,Paramount Home Video,80,41598
m/1021721-torso,I corpi presentano tracce di violenza carnale (Torso) (Bodies Bear Traces of Carnal Violence),R,HORROR,Sergio Martino,1973-10-01,2016-12-09,90,Anchor Bay Entertainment,55,2014
m/1021749-touch_of_evil,Touch of Evil,PG-13,DRAMA,Orson Welles,1958-05-21,2014-03-18,95,October Films,92,31216
m/1021765-tough_guys,Tough Guys,PG,COMEDY,Jeff Kanew,1986-10-03,2016-03-22,103,Touchstone Pictures,55,3246
m/1021963-treasure_island,Treasure Island,NR,ACTION & ADVENTURE,Victor Fleming,1934-08-17,2015-11-05,105,Warner Home Video,74,1646
m/1021964-treasure_island,Treasure Island,PG,ACTION & ADVENTURE,Byron Haskin,1950-07-19,2015-07-01,96,Walt Disney Productions,67,8736
m/1022001-trial,Le Procès (The Trial),NR,DRAMA,Orson Welles,1962-12-21,2016-11-08,118,Gibraltar Films,87,6774
m/1022024-trip,The Trip,R,ACTION & ADVENTURE,Roger Corman,1967-01-01,2017-05-04,85,American International Pictures,52,2796
m/1022172-twelve_oclock_high,Twelve O'Clock High,NR,ACTION & ADVENTURE,Henry King,1949-01-01,2017-03-13,132,Twentieth Century Fox Home Entertainment,87,6019
m/1022191-twins,Twins,PG,COMEDY,Ivan Reitman,1988-12-09,2012-06-15,112,Universal Pictures,39,204221
m/1022314-uncommon_valor,Uncommon Valor,R,ACTION & ADVENTURE,Ted Kotcheff,1983-12-16,2016-08-10,105,Paramount Home Video,62,6878
m/1022315-undefeated,The Undefeated,G,WESTERN,Andrew V. McLaglen,1969-01-01,2015-11-25,119,Twentieth Century Fox Home Entertainment,65,6244
m/1022369-unfaithfully_yours,Unfaithfully Yours,NR,COMEDY,Preston Sturges,1948-12-10,2012-09-18,105,Fox,87,2317
m/1022373-unforgiven,The Unforgiven,G,ACTION & ADVENTURE,John Huston,1960-04-06,2017-04-18,125,United Artists,59,6655
m/1022473-valley_girl,Valley Girl,R,COMEDY,Martha Coolidge,1983-01-01,2016-11-01,95,Vestron Video,72,13724
m/1022537-venom,Venom,R,HORROR,Piers Haggard,1981-01-29,2017-05-22,93,Blue Underground,31,3072
m/1022570-vice_versa,Vice Versa,PG,COMEDY,Brian Gilbert,1988-03-11,2012-04-16,97,Sony Pictures Home Entertainment,41,8095
m/1022576-victory,Victory,PG,ACTION & ADVENTURE,John Huston,1981-07-30,2013-11-27,117,Paramount Pictures,71,10345
m/1022823-village_of_the_damned,Village of the Damned,R,HORROR,Wolf Rilla,,2009-10-01,78,Warner Home Video,77,9650
m/1023007-walking_tall,Walking Tall,R,ACTION & ADVENTURE,Phil Karlson,1973-01-01,2017-01-05,125,Cinerama,71,6730
m/1023205-warriors,The Warriors,R,ACTION & ADVENTURE,Walter Hill,1979-02-09,2013-08-01,90,Paramount Pictures,88,76128
m/1023236-water,Water,PG-13,ACTION & ADVENTURE,Dick Clement,,2011-02-22,91,Anchor Bay Entertainment,68,402
m/1023286-were_no_angels,We're No Angels,PG-13,COMEDY,Neil Jordan,1989-12-15,2017-01-01,108,Paramount Home Video,41,8685
m/1023316-weird_science,Weird Science,PG-13,COMEDY,John Hughes,1985-08-02,2013-09-10,94,Universal Pictures,69,124551
m/1023461-when_a_stranger_calls,When a Stranger Calls,R,HORROR,Fred Walton,1979-09-28,2019-10-19,100,Sony Pictures Home Entertainment,49,32204
m/1023508-where_the_boys_are,Where the Boys Are,NR,COMEDY,"Henry Levin, George Wells",1960-12-28,2012-12-30,99,WARNER BROTHERS PICTURES,70,2096
m/1023717-willard,Willard,PG,HORROR,Daniel Mann,,2017-05-16,95,Cinerama,38,2969
m/1023739-winchester_73,Winchester '73,NR,WESTERN,Anthony Mann,1950-07-12,2014-03-18,92,Universal Pictures,86,5453
m/1023854-witness,Witness,R,DRAMA,Peter Weir,1985-02-08,2014-06-06,112,Paramount Pictures,80,46814
m/1023900-womans_face,A Woman's Face,NR,DRAMA,George Cukor,1941-05-23,2016-06-28,106,MGM Home Entertainment,82,490
m/1023906-women,The Women,NR,COMEDY,George Cukor,1939-01-01,2009-04-01,132,MGM,88,6626
m/1024191-wrong_man,The Wrong Man,PG,DRAMA,Alfred Hitchcock,1956-12-22,2016-10-04,105,Warner Bros. Pictures,75,8186
m/1024192-wuthering_heights,Wuthering Heights,G,DRAMA,William Wyler,1939-04-13,2016-02-01,103,United Artists,85,8786
m/1024232-year_of_the_dragon,Year of the Dragon,R,ACTION & ADVENTURE,Michael Cimino,1985-08-16,2016-04-19,134,MGM Home Entertainment,52,8479
m/1024407-yours_mine_and_ours,"Yours, Mine and Ours",NR,COMEDY,Melville Shavelson,1968-04-24,2016-03-22,111,MGM Home Entertainment,80,57777
m/1028554-blue_steel,Blue Steel,R,ACTION & ADVENTURE,Kathryn Bigelow,1990-03-16,2017-01-03,102,MGM Home Entertainment,35,8738
m/1028561-where_the_heart_is,Where the Heart Is,R,COMEDY,John Boorman,1990-01-01,2016-02-18,94,Touchstone Pictures,58,1987
m/1028564-guardian,The Guardian,R,HORROR,William Friedkin,1990-04-27,2016-11-01,92,Universal,32,4857
m/1028711-mystery_train,Mystery Train,R,COMEDY,Jim Jarmusch,1989-11-17,2017-05-22,113,Orion Home Video,87,10579
m/1028715-revolution,Revolution,PG-13,ACTION & ADVENTURE,Hugh Hudson,1985-12-25,2013-12-03,123,Warner Home Video,32,3117
m/1029042-henry_v,Henry V,PG-13,ACTION & ADVENTURE,Kenneth Branagh,1989-11-08,2017-05-01,137,MGM Home Entertainment,89,13465
m/1029072-kiss_of_death,Kiss of Death,NR,DRAMA,Henry Hathaway,1947-08-27,2017-01-30,98,20th Century Fox,76,2054
m/1029099-conquest,Conquest,NR,DRAMA,Clarence Brown,1937-10-22,2017-10-20,112,Metro-Goldwyn-Mayer (MGM),50,514
m/1029112-alice_in_wonderland,Alice in Wonderland,G,COMEDY,"Clyde Geronimi, Wilfred Jackson, Hamilton Luske",1951-07-28,2015-12-27,75,Film Chest,78,574325
m/1029161-my_blue_heaven,My Blue Heaven,PG-13,COMEDY,Herbert Ross,1990-08-17,2008-01-15,95,Warner Bros. Pictures,59,16784
m/1029314-dick_tracy,Dick Tracy,PG,ACTION & ADVENTURE,Warren Beatty,1990-06-14,2016-08-10,110,Buena Vista Pictures,53,77262
m/1029408-bombshell,Bombshell (Blonde Bombshell),NR,COMEDY,Victor Fleming,1933-10-13,2012-04-16,95,MGM,74,638
m/1029427-navy_seals,Navy Seals,R,ACTION & ADVENTURE,Lewis Teague,1990-07-20,2016-08-23,113,Orion Home Video,42,19938
m/1029895-goodbye_mr_chips,"Goodbye, Mr. Chips",G,DRAMA,Herbert Ross,1969-11-05,2016-03-27,151,MGM,71,636
